Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
foot_FR,-5.72279407917708E-07,-0.0128463249022266,-6.29004821006696E-08,0,0,0,0.119111639538268,5.18748153503323E-05,3.52378465374801E-10,3.91013918952967E-10,9.07772740192844E-05,3.8695812377729E-11,5.18717436870357E-05,0,0,0,0,0,0,package://sizu/meshes/foot_FR.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/foot_FR.STL,,末端装配初版-3/连接件1-1;末端装配初版-3/连接件2-1,FO_FR,Axis_foot_joint_FR2,foot_joint_FR,continuous,-0.00432109132354669,0.34457379978734,0.00999999999999862,0,0.026414288291556,0,tibia_FR,0.0264112167928317,0,-0.999651162970124,,,,,,,,,,,,
leg_center_RR,0.00098418161877753,0.000539907314238891,-0.0344657673548433,0,0,0,0.151750032843904,7.5000827940603E-05,-1.80328417036784E-06,-1.62329378451308E-06,7.72600969691206E-05,-8.86123115017083E-07,7.72691235265937E-05,0,0,0,0,0,0,package://sizu/meshes/leg_center_RR.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/leg_center_RR.STL,,总装配(中控+连接电机部分)-2/CRA-RI50-60-PRO-XX电机（对称）-1,leg_center_RR,,leg_center_joint_RR,fixed,-0.16402,-0.12879,0.0596,0,0,0,base_link,0,0,0,,,,,,,,,,,,
coxa_RR,0.0349479257269856,0.0150821953208578,0.0131243650687813,0,0,0,0.0139205734037211,5.36839717264042E-06,-4.33858462133048E-06,-4.49435330255387E-06,1.84250868043124E-05,-1.44305974323732E-06,1.85333303072553E-05,0,0,0,0,0,0,package://sizu/meshes/coxa_RR.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/coxa_RR.STL,,电机连接2-2,C_RR,C_RR_Z,coxa_joint_RR,revolute,0,0,0,0,0,-2.42271170999494,leg_center_RR,0,0,-1,20,5,-3.14,3.14,,,,,,,,
femur_RR,-2.78477811505029E-08,-0.0799992269144236,-0.0352270094516314,0,0,0,0.564860251869997,0.00108280941839521,-1.21528323369612E-12,4.03210531292973E-10,0.000268128803345269,-1.11166518183559E-08,0.00109208175654912,0,0,0,0,0,0,package://sizu/meshes/femur_RR.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/femur_RR.STL,,蜘蛛腿2-1/电机连接块-2;蜘蛛腿2-1/CRA-RI50-60-PRO-XX电机（裸）-1;蜘蛛腿2-1/CRA-RI50-60-PRO-XX电机（裸）-2,F_RR,F_RR_Z,femur_joint_RR,revolute,0.0718125005538652,0.0225,0.025,-1.57079632679485,1.56222876577037,0,coxa_RR,0,0,-1,20,5,-3.14,3.14,,,,,,,,
tibia_RR,0.00150254821652118,0.118127367993487,-0.0100000000000002,0,0,0,0.223962200244062,0.00177096475927415,-2.63666154187103E-05,-2.96461531539005E-21,3.53555327183623E-05,-3.67612299108366E-19,0.00179138947864291,0,0,0,0,0,0,package://sizu/meshes/tibia_RR.STL,0,0,0,1,0,0,0,0,0,0,package://sizu/meshes/tibia_RR.STL,,蜘蛛腿2-1/腿-3,T_RR,T_RR_Z,tibia_joint_RR,revolute,0,-0.160000000000001,0,3.14159265358979,0,-0.0146164577102467,femur_RR,0,0,1,20,5,-3.14,3.14,,,,,,,,
foot_RR,-6.27325687507785E-08,-0.0128463247852255,5.7232851607969E-07,0,0,0,0.119111639058146,5.18717436566061E-05,3.86024838405224E-11,-3.91016594255815E-10,9.07772739558191E-05,-3.52410090726527E-10,5.18748153016135E-05,0,0,0,0,0,0,package://sizu/meshes/foot_RR.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/foot_RR.STL,,末端装配初版-2/连接件1-1;末端装配初版-2/连接件2-1,FO_RR,Axis_foot_joint_RR2,foot_joint_RR,continuous,0.00432109132354666,0.34457379978734,-0.0100000000000001,0,0.0146632887328114,0,tibia_RR,0.0146627632745317,0,-0.999892495908013,,,,,,,,,,,,
leg_center_RL,0.000914319264313623,-0.000511438701601766,-0.0344892575360838,0,0,0,0.151422817356907,7.48008411478141E-05,1.71274486252742E-06,-1.50806328665154E-06,7.68405070633818E-05,8.39161910801722E-07,7.67441292424314E-05,0,0,0,0,0,0,package://sizu/meshes/leg_center_RL.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/leg_center_RL.STL,,总装配(中控+连接电机部分)-2/CRA-RI50-60-PRO-XX电机-1,leg_center_RL,Axis_leg_center_joint_RL,leg_center_joint_RL,fixed,-0.1640224519415,0.128788837741454,0.0596,0,0,0,base_link,0,0,0,,,,,,,,,,,,
coxa_RL,0.0349691822045916,-0.0150716882670051,0.0131191004747624,0,0,0,0.0139041982936575,5.36514451466507E-06,4.34122581806134E-06,-4.49333792184378E-06,1.84144100775295E-05,1.44240689646515E-06,1.8523271732711E-05,0,0,0,0,0,0,package://sizu/meshes/coxa_RL.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/coxa_RL.STL,,电机连接1-3,C_RL,C_RL_Z,coxa_joint_RL,revolute,0,0,0,0,0,2.44708655296126,leg_center_RL,0,0,-1,20,5,-3.14,3.14,,,,,,,,
femur_RL,-5.72819567362659E-07,-0.0799994787113804,0.0352270095359788,0,0,0,0.564860243970217,0.00108280941685927,-6.48282464015724E-13,-8.22888282879266E-09,0.000268128800958842,7.48522443281955E-09,0.00109208175270309,0,0,0,0,0,0,package://sizu/meshes/femur_RL.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/femur_RL.STL,,蜘蛛腿1-1/CRA-RI50-60-PRO-XX电机（裸）-1;蜘蛛腿1-1/电机连接块-2;蜘蛛腿1-1/CRA-RI50-60-PRO-XX电机（裸）-2,F_RL,F_RL_Z,femur_joint_RL,revolute,0.0718125005538652,-0.0225,0.0250000000000001,1.57079632679491,1.55962757539902,-3.14159265358978,coxa_RL,0,0,1,20,5,-3.14,3.14,,,,,,,,
tibia_RL,-0.0015025482165212,0.118127367993487,0.00999999999999984,0,0,0,0.223962200244063,0.00177096475927415,2.63666154187104E-05,0,3.53555327183624E-05,1.32645359540023E-18,0.00179138947864291,0,0,0,0,0,0,package://sizu/meshes/tibia_RL.STL,0,0,0,1,0,0,0,0,0,0,package://sizu/meshes/tibia_RL.STL,,蜘蛛腿1-1/腿-3,T_RL,T_RL_Z,tibia_joint_RL,revolute,0,-0.16,0,3.14159265358979,0,0.0368704591346703,femur_RL,0,0,-1,20,5,-3.14,3.14,,,,,,,,
foot_RL,6.27327753077722E-08,-0.0128463247945934,-5.72339310556114E-07,0,0,0,0.119111639086006,5.18717436919392E-05,-3.8605408202291E-11,-3.91017812278499E-10,9.07772740064203E-05,3.52415256976984E-10,5.18748153357677E-05,0,0,0,0,0,0,package://sizu/meshes/foot_RL.STL,1,1,1,1,0,0,0,0,0,0,package://sizu/meshes/foot_RL.STL,,末端装配初版-1/连接件1-1;末端装配初版-1/连接件2-1,FO_RL,Axis_foot_joint_RL,foot_joint_RL,continuous,-0.00432109132354665,0.34457379978734,0.00999999999999936,0,-0.001047926195898,0,tibia_RL,-0.00104792600410154,0,-0.999999450925394,,,,,,,,,,,,
